trade_date,开盘,close,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,5212.93,5267.72,5284.43,5190.94,211711383,452796174336.0,1.79,1.08,56.43,0.65
2021-01-05,5245.84,5368.5,5368.5,5234.38,224931159,498041937920.0,2.55,1.91,100.78,0.69
2021-01-06,5386.51,5417.67,5433.47,5341.43,193773445,444434378752.0,1.71,0.92,49.17,0.59
2021-01-07,5428.39,5513.66,5513.66,5413.35,219872079,473385353216.0,1.85,1.77,95.99,0.67
2021-01-08,5526.29,5495.43,5547.47,5442.69,204324956,473567653888.0,1.9,-0.33,-18.23,0.63
2021-01-11,5504.24,5441.16,5555.69,5412.5,231835983,522298482688.0,2.61,-0.99,-54.27,0.71
2021-01-12,5419.5,5596.35,5596.35,5417.63,224220186,486233759744.0,3.28,2.85,155.19,0.69
2021-01-13,5609.26,5577.97,5644.72,5535.14,261569887,546959736832.0,1.96,-0.33,-18.38,0.8
2021-01-14,5556.21,5470.46,5568.02,5458.68,243683379,501890113536.0,1.96,-1.93,-107.51,0.75
2021-01-15,5471.39,5458.08,5500.63,5390.27,238637435,475709919232.0,2.02,-0.23,-12.38,0.73
2021-01-18,5438.16,5518.52,5541.46,5410.78,207051868,422717210624.0,2.39,1.11,60.44,0.63
2021-01-19,5525.97,5437.52,5532.48,5415.72,211043425,433205178368.0,2.12,-1.47,-81.0,0.65
2021-01-20,5439.91,5476.43,5496.05,5426.54,170913260,373770383360.0,1.28,0.72,38.91,0.52
2021-01-21,5492.96,5564.97,5593.11,5490.56,209950198,453183684608.0,1.87,1.62,88.54,0.64
2021-01-22,5562.38,5569.78,5573.66,5513.88,199300019,456622194688.0,1.07,0.09,4.81,0.61
2021-01-25,5564.12,5625.92,5655.48,5543.27,197047020,508166979584.0,2.01,1.01,56.14,0.6
2021-01-26,5600.9,5512.97,5600.9,5506.0,171904591,415008071680.0,1.69,-2.01,-112.95,0.53
2021-01-27,5505.77,5528.0,5534.99,5449.64,160190840,376892604416.0,1.55,0.27,15.03,0.49
2021-01-28,5450.37,5377.14,5462.24,5360.38,170485586,376166522880.0,1.84,-2.73,-150.86,0.52
2021-01-29,5413.97,5351.96,5430.2,5288.1,182178785,390287691776.0,2.64,-0.47,-25.18,0.56
2021-02-01,5356.85,5417.65,5422.3,5342.05,166313705,346859085824.0,1.5,1.23,65.69,0.51
2021-02-02,5429.7,5501.09,5503.21,5411.52,165210565,380016717824.0,1.69,1.54,83.44,0.51
2021-02-03,5499.3,5485.2,5532.89,5473.12,188054318,404343603200.0,1.09,-0.29,-15.89,0.58
2021-02-04,5453.98,5473.95,5510.05,5411.57,180575654,397995204608.0,1.8,-0.21,-11.25,0.55
2021-02-05,5494.7,5483.41,5550.77,5477.65,189699599,395400134656.0,1.34,0.17,9.46,0.58
2021-02-08,5506.14,5564.56,5576.49,5479.85,164033774,367582773248.0,1.76,1.48,81.15,0.5
2021-02-09,5584.17,5686.25,5686.25,5555.05,164887260,378769121280.0,2.36,2.19,121.69,0.51
2021-02-10,5709.68,5807.72,5823.42,5707.33,170169787,417056464896.0,2.04,2.14,121.47,0.52
2021-02-18,5922.07,5768.38,5930.91,5747.66,218848686,507481235456.0,3.16,-0.68,-39.34,0.67
2021-02-19,5734.02,5778.84,5787.89,5667.32,214475781,456433795072.0,2.09,0.18,10.46,0.66
2021-02-22,5785.51,5597.33,5785.51,5597.33,282124383,543633154048.0,3.26,-3.14,-181.51,0.86
2021-02-23,5542.68,5579.67,5644.76,5541.11,233807726,424904470528.0,1.85,-0.32,-17.66,0.72
2021-02-24,5591.48,5437.57,5598.83,5379.73,225428611,472369209344.0,3.93,-2.55,-142.1,0.69
2021-02-25,5494.47,5469.56,5527.63,5444.16,230736028,412206157824.0,1.54,0.59,31.99,0.71
2021-02-26,5343.9,5336.76,5416.32,5318.86,212264543,405717700608.0,1.78,-2.43,-132.8,0.65
2021-03-01,5389.25,5418.78,5421.56,5345.94,177463524,358146547712.0,1.42,1.54,82.02,0.54
2021-03-02,5453.28,5349.63,5454.97,5305.05,196511114,376444604416.0,2.77,-1.28,-69.15,0.6
2021-03-03,5327.35,5452.21,5452.4,5316.48,194709053,337610313728.0,2.54,1.92,102.58,0.6
2021-03-04,5388.48,5280.71,5392.37,5254.78,212775212,384382455808.0,2.52,-3.15,-171.5,0.65
2021-03-05,5191.97,5262.8,5307.82,5174.25,202627955,352539774976.0,2.53,-0.34,-17.91,0.62
2021-03-08,5299.79,5080.02,5326.26,5079.8,230231634,407133802496.0,4.68,-3.47,-182.78,0.71
2021-03-09,5066.15,4971.0,5094.31,4917.91,230711004,414415212544.0,3.47,-2.15,-109.02,0.71
2021-03-10,5047.06,5003.61,5055.28,4981.62,169928489,309577408512.0,1.48,0.66,32.61,0.52
2021-03-11,5024.56,5128.22,5138.41,5020.58,189600765,333859201024.0,2.35,2.49,124.61,0.58
2021-03-12,5153.67,5146.38,5153.67,5086.82,201020590,323237752832.0,1.3,0.35,18.16,0.62
2021-03-15,5116.12,5035.54,5120.88,4992.4,204153083,330740514816.0,2.5,-2.15,-110.84,0.63
2021-03-16,5054.41,5079.36,5084.31,5009.95,161390054,271755046912.0,1.48,0.87,43.82,0.49
2021-03-17,5062.77,5100.86,5123.55,5020.13,149162376,263492419584.0,2.04,0.42,21.5,0.46
2021-03-18,5114.59,5141.77,5160.46,5111.13,142901519,260930048000.0,0.97,0.8,40.91,0.44
2021-03-19,5068.53,5007.09,5089.92,4980.76,164174848,282974490624.0,2.12,-2.62,-134.68,0.5
2021-03-22,5008.4,5057.15,5071.34,4996.54,167402632,264209100800.0,1.49,1.0,50.06,0.51
2021-03-23,5057.06,5009.25,5064.02,4966.53,158013967,255755378688.0,1.93,-0.95,-47.9,0.48
2021-03-24,4985.4,4928.69,5024.33,4919.89,159385981,265970020352.0,2.08,-1.61,-80.56,0.49
2021-03-25,4904.07,4926.35,4950.76,4883.66,132945188,219782049792.0,1.36,-0.05,-2.34,0.41
2021-03-26,4953.95,5037.99,5050.83,4953.95,145926697,273901924352.0,1.97,2.27,111.64,0.45
2021-03-29,5052.26,5046.88,5086.65,5010.39,143388216,266176602112.0,1.51,0.18,8.89,0.44
2021-03-30,5043.1,5094.73,5106.04,5032.8,138618560,254928015360.0,1.45,0.95,47.85,0.42
2021-03-31,5085.95,5048.36,5085.95,5015.61,141335744,241058484224.0,1.38,-0.91,-46.37,0.43
2021-04-01,5059.94,5110.78,5115.43,5056.87,120324890,211493322752.0,1.16,1.24,62.42,0.37
2021-04-02,5129.85,5161.56,5169.83,5116.35,127002255,248060375040.0,1.05,0.99,50.78,0.39
2021-04-06,5178.64,5140.34,5181.15,5125.33,109834209,213852442624.0,1.08,-0.41,-21.22,0.34
2021-04-07,5141.66,5103.74,5141.66,5065.19,145763748,246271188992.0,1.49,-0.71,-36.6,0.45
2021-04-08,5078.26,5112.21,5129.13,5062.07,141771046,228422004736.0,1.31,0.17,8.47,0.43
2021-04-09,5100.04,5035.34,5100.04,5022.09,128416509,221519790080.0,1.52,-1.5,-76.87,0.39
2021-04-12,5026.98,4947.75,5045.6,4933.01,152644314,267218194432.0,2.24,-1.74,-87.59,0.47
2021-04-13,4949.81,4939.64,4994.54,4924.2,132919357,225753231360.0,1.42,-0.16,-8.11,0.41
2021-04-14,4945.69,4980.63,4987.12,4940.27,120860838,221036277760.0,0.95,0.83,40.99,0.37
2021-04-15,4969.91,4948.97,4969.91,4900.3,108829384,213820882944.0,1.4,-0.64,-31.66,0.33
2021-04-16,4966.9,4966.18,4979.17,4917.96,111239923,213389172736.0,1.24,0.35,17.21,0.34
2021-04-19,4966.41,5087.02,5088.21,4940.75,154769825,307899777024.0,2.97,2.43,120.84,0.47
2021-04-20,5065.78,5083.37,5119.86,5058.92,136541701,276640587776.0,1.2,-0.07,-3.65,0.42
2021-04-21,5055.24,5098.74,5110.56,5047.99,124637276,242574995456.0,1.23,0.3,15.37,0.38
2021-04-22,5114.28,5089.24,5119.22,5067.14,121167644,241488846848.0,1.02,-0.19,-9.5,0.37
2021-04-23,5088.83,5135.45,5149.98,5086.49,122056991,264345182208.0,1.25,0.91,46.21,0.37
2021-04-26,5156.59,5077.24,5181.11,5072.96,151381967,325760385024.0,2.11,-1.13,-58.21,0.46
2021-04-27,5076.64,5090.52,5095.98,5042.61,123961838,254738010112.0,1.05,0.26,13.28,0.38
2021-04-28,5073.97,5119.24,5119.45,5059.26,120620319,272182521856.0,1.18,0.56,28.72,0.37
2021-04-29,5128.28,5164.17,5170.59,5113.65,140092480,294112452608.0,1.11,0.88,44.93,0.43
2021-04-30,5156.36,5123.49,5163.25,5094.93,160121620,315075104768.0,1.32,-0.79,-40.68,0.49
2021-05-06,5098.8,5061.12,5132.9,5037.41,158822630,323258265600.0,1.86,-1.22,-62.37,0.49
